activity_daily_movement,activity_high,activity_inactive,activity_score,activity_score_meet_daily_targets,activity_score_move_every_hour,activity_steps,activity_total
6960,0,435,83,43,95,9619,211
6170,0,458,79,25,100,8215,188
10197,0,603,75,25,95,13610,313
6879,0,543,73,25,95,9455,210
9781,0,557,75,43,95,12477,306
6965,0,535,75,60,78,9472,189
6896,0,439,76,60,100,9430,234
1767,0,473,69,43,100,2577,140
5529,0,525,82,43,100,7898,189
10169,0,519,82,43,100,14050,292
6829,0,514,80,43,78,9339,186
7141,0,360,79,25,95,9720,185
10467,2,547,79,43,100,13528,318
7781,0,489,81,60,95,10618,221
5644,0,431,79,60,95,8065,141
6769,0,455,66,60,95,8860,176
7319,0,529,59,43,95,10077,200
7301,0,415,59,43,95,10226,203
7183,1,385,69,43,100,9512,194
7897,0,486,58,43,100,10943,223
7230,0,423,75,43,100,10242,272
5361,0,472,71,43,95,7486,181
7250,2,542,86,60,100,9765,196
6395,0,641,82,60,78,8441,177
5298,0,594,84,60,95,7575,154
2412,2,376,86,60,100,3396,180
1971,0,591,81,43,100,3189,174
852,0,714,71,25,78,1532,87
8401,0,653,79,43,95,11152,242
7311,0,468,87,60,100,10151,207
6570,0,502,86,60,95,8769,190
6898,0,368,86,60,100,9213,191
1492,1,572,75,43,95,2043,101
6999,0,494,82,43,100,9357,210
965,0,778,75,43,78,1793,104
6355,0,644,71,25,60,8678,176
5238,0,629,65,1,60,6979,145
723,0,482,71,1,95,1160,72
5959,0,549,70,1,95,8234,185
5398,0,457,72,1,95,7200,146
6454,0,544,71,1,100,8140,225
5347,0,435,72,1,95,7512,164
396,0,775,59,1,25,1057,58
5904,0,714,74,25,95,8338,179
5920,0,524,78,25,95,7877,161
6713,0,496,78,25,95,9179,179
1273,0,714,73,25,95,2142,114
5574,0,332,80,25,100,7362,161
2158,2,550,76,25,95,2640,116
1624,0,633,66,1,78,2397,131
6046,0,541,70,1,95,8164,182
5891,0,497,71,1,95,7985,168
1980,0,578,68,1,100,2501,112
369,0,707,64,1,95,851,49
546,0,595,63,1,95,1156,66
7237,0,574,72,25,95,9852,215
6968,5,559,80,43,95,9203,175
5234,0,565,79,43,95,6781,229
6452,0,417,88,60,100,9056,200
6079,0,482,82,43,95,8461,177
6138,0,619,79,43,95,8224,161
480,0,552,76,43,78,805,45
721,0,836,65,25,43,1333,80
1176,0,659,71,25,95,2023,111
908,0,754,64,25,78,1860,113
1344,0,691,62,25,95,2377,146
795,0,608,56,25,78,1475,85
